city_name,country_code,latitude,longitude
sherwani_ye_bala,af,35.01468,69.59934
kiraman,af,35.29730,69.68125
alaqahdari_sarobi,af,32.79331,69.08660
zerok_alakadari,af,33.15806,69.31278
kushkak,af,32.28991,61.52194
khayr_kot,af,32.85355,68.44971
chowney,af,33.38278,66.27233
wutahpur,af,34.91914,71.09863
karbori,af,34.96597,71.27460
sultanpur_e_ulya,af,34.41204,70.29634
babasakhib,af,31.66144,65.66098
chandal_ba_i,af,34.58469,68.95524
dahan_e_jarf,af,34.92891,68.46273
maydanshakhr,af,34.39561,68.86618
du_lainah,af,34.15599,64.78566
qaram_qol,af,36.83006,65.04299
pul_e_hisar,af,35.61794,69.47134
lab_sar,af,36.02634,66.83799
taqchah_khanah,af,36.61922,69.62805
march,af,37.52845,70.44820
ziraki,af,37.59233,70.55814
aliabad,af,36.52115,68.89985
pas_pul,af,37.47355,70.61617
qal_ah_ye_na_im,af,34.39951,69.16705
markaz_e_woluswali_ye_achin,af,34.12583,70.70778
manogay,af,34.99015,70.91302
ster_giyan,af,32.97704,69.37308
sharan,af,33.17568,68.73045
salam_khel,af,33.67067,69.32983
saint_john_s,ag,17.12096,-61.84329
potters_village,ag,17.11337,-61.81962
piggotts,ag,17.11667,-61.80000
parham,ag,17.09682,-61.77046
liberta,ag,17.04141,-61.79052
falmouth,ag,17.02741,-61.78136
codrington,ag,17.63333,-61.83333
bolands,ag,17.06565,-61.87466
all_saints,ag,17.06671,-61.79303
west_end_village,ai,18.17191,-63.14941
the_valley,ai,18.21704,-63.05783
the_quarter,ai,18.20799,-63.04178
farrington,ai,18.21500,-63.02238
stoney_ground,ai,18.22026,-63.04607
south_hill_village,ai,18.19201,-63.08779
sandy_ground_village,ai,18.20118,-63.08998
north_side,ai,18.22919,-63.04401
north_hill_village,ai,18.20542,-63.07847
island_harbour,ai,18.25601,-63.01020
george_hill,ai,18.19939,-63.06650
east_end_village,ai,18.23333,-63.00000
blowing_point_village,ai,18.17648,-63.09375
sandy_hill,ai,18.22104,-63.01329
xarre,al,39.72833,20.05444
sarande,al,39.87534,20.00477
mesopotam,al,39.91028,20.09222
markat,al,39.73278,20.19528
livadhja,al,39.78917,20.12194
konispol,al,39.65889,20.18139
kakavije,al,39.90778,20.35833
finiq,al,39.90639,20.05833
dhiver,al,39.83611,20.16861
delvine,al,39.95111,20.09778
aliko,al,39.85861,20.07917
